,ticker,name,sector,market capitalization
0,MMM,3M Company,Industrials,70365.3888
1,AOS,A. O. Smith Corporation,Industrials,12323.90144
2,ABT,Abbott Laboratories,Healthcare,183078.649856
3,ABBV,AbbVie Inc.,Healthcare,326968.475648
4,ACN,Accenture plc,Technology,205742.08
5,ADBE,Adobe Inc.,Technology,240517.890048
6,AMD,"Advanced Micro Devices, Inc.",Technology,226267.250688
7,AES,The AES Corporation,Utilities,12450.886656
8,AFL,Aflac Incorporated,Financial Services,53878.812672
9,A,"Agilent Technologies, Inc.",Healthcare,40064.622592
10,APD,"Air Products and Chemicals, Inc.",Basic Materials,58017.42336
11,ABNB,"Airbnb, Inc.",Consumer Cyclical,88941.64992
12,AKAM,"Akamai Technologies, Inc.",Technology,14770.179072
13,ALB,Albemarle Corporation,Basic Materials,10906.50624
14,ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,20802.199552
15,ALGN,"Align Technology, Inc.",Healthcare,16595.849216
16,ALLE,Allegion plc,Industrials,11916.510208
17,LNT,Alliant Energy Corporation,Utilities,14359.78752
18,ALL,The Allstate Corporation,Financial Services,44646.5024
19,GOOGL,Alphabet Inc.,Communication Services,2065105.289216
20,GOOG,Alphabet Inc.,Communication Services,2065216.569344
21,MO,"Altria Group, Inc.",Consumer Defensive,86620.07808
22,AMZN,"Amazon.com, Inc.",Consumer Cyclical,1899204.44416
23,AMCR,Amcor plc,Consumer Cyclical,15002.630144
24,AEE,Ameren Corporation,Utilities,20810.92608
25,AAL,American Airlines Group Inc.,Industrials,6974.196224
26,AEP,"American Electric Power Company, Inc.",Utilities,50840.911872
27,AXP,American Express Company,Financial Services,174806.155264
28,AIG,"American International Group, Inc.",Financial Services,51261.714432
29,AMT,American Tower Corporation,Real Estate,99801.899008
30,AWK,"American Water Works Company, Inc.",Utilities,27608.369152
31,AMP,"Ameriprise Financial, Inc.",Financial Services,43250.737152
32,AME,"AMETEK, Inc.",Industrials,39875.33824
33,AMGN,Amgen Inc.,Healthcare,179625.263104
34,APH,Amphenol Corporation,Technology,76709.2736
35,ADI,"Analog Devices, Inc.",Technology,112358.408192
36,ANSS,"ANSYS, Inc.",Technology,27260.299264
37,AON,Aon plc,Financial Services,70230.212608
38,APA,APA Corporation,Energy,11584.902144
39,AAPL,Apple Inc.,Technology,3342220.65664
40,AMAT,"Applied Materials, Inc.",Technology,170951.999488
41,APTV,Aptiv PLC,Consumer Cyclical,18701.541376
42,ACGL,Arch Capital Group Ltd.,Financial Services,36389.126144
43,ADM,Archer-Daniels-Midland Company,Consumer Defensive,31634.143232
44,ANET,"Arista Networks, Inc.",Technology,100028.604416
45,AJG,Arthur J. Gallagher & Co.,Financial Services,61966.76608
46,AIZ,"Assurant, Inc.",Financial Services,8996.143104
47,T,AT&T Inc.,Communication Services,136306.262016
48,ATO,Atmos Energy Corporation,Utilities,19034.642432
49,ADSK,"Autodesk, Inc.",Technology,51907.497984
50,ADP,"Automatic Data Processing, Inc.",Industrials,103415.56224
51,AZO,"AutoZone, Inc.",Consumer Cyclical,52791.148544
52,AVB,"AvalonBay Communities, Inc.",Real Estate,29358.565376
53,AVY,Avery Dennison Corporation,Consumer Cyclical,17217.4848
54,AXON,"Axon Enterprise, Inc.",Industrials,23439.357952
55,BKR,Baker Hughes Company,Energy,37819.8016
56,BALL,Ball Corporation,Consumer Cyclical,19631.407104
57,BAC,Bank of America Corporation,Financial Services,323973.840896
58,BK,The Bank of New York Mellon Corporation,Financial Services,48225.488896
59,BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,7627.803136
60,BAX,Baxter International Inc.,Healthcare,18095.18592
61,BDX,"Becton, Dickinson and Company",Healthcare,68581.13024
62,BRK-B,Berkshire Hathaway Inc.,Financial Services,943630.057472
63,BBY,"Best Buy Co., Inc.",Consumer Cyclical,18842.617856
64,BIO,"Bio-Rad Laboratories, Inc.",Healthcare,8983.432192
65,TECH,Bio-Techne Corporation,Healthcare,12701.349888
66,BIIB,Biogen Inc.,Healthcare,30745.716736
67,BLK,"BlackRock, Inc.",Financial Services,126888.845312
68,BX,Blackstone Inc.,Financial Services,173789.528064
69,BA,The Boeing Company,Industrials,114728.787968
70,BKNG,Booking Holdings Inc.,Consumer Cyclical,125565.3376
71,BWA,BorgWarner Inc.,Consumer Cyclical,7475.364864
72,BSX,Boston Scientific Corporation,Healthcare,110145.880064
