,ticker,name,sector,market capitalization
0,MMM,3M Company,Industrials,68455.002112
1,AOS,A. O. Smith Corporation,Industrials,11908.243456
2,ABT,Abbott Laboratories,Healthcare,189005.33248
3,ABBV,AbbVie Inc.,Healthcare,325555.781632
4,ACN,Accenture plc,Technology,196521.705472
5,ADBE,Adobe Inc.,Technology,225832.484864
6,AMD,"Advanced Micro Devices, Inc.",Technology,218203.488256
7,AES,The AES Corporation,Utilities,11580.9536
8,AFL,Aflac Incorporated,Financial Services,54417.723392
9,A,"Agilent Technologies, Inc.",Healthcare,39300.206592
10,APD,"Air Products and Chemicals, Inc.",Basic Materials,61907.779584
11,ABNB,"Airbnb, Inc.",Consumer Cyclical,79552.3072
12,AKAM,"Akamai Technologies, Inc.",Technology,13909.587968
13,ALB,Albemarle Corporation,Basic Materials,9816.35584
14,ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,19616.200704
15,ALGN,"Align Technology, Inc.",Healthcare,15654.076416
16,ALLE,Allegion plc,Industrials,11130.61376
17,LNT,Alliant Energy Corporation,Utilities,14166.495232
18,ALL,The Allstate Corporation,Financial Services,44628.209664
19,GOOGL,Alphabet Inc.,Communication Services,1969651.843072
20,GOOG,Alphabet Inc.,Communication Services,1966313.832448
21,MO,"Altria Group, Inc.",Consumer Defensive,84201.955328
22,AMZN,"Amazon.com, Inc.",Consumer Cyclical,1690001.473536
23,AMCR,Amcor plc,Consumer Cyclical,14872.549376
24,AEE,Ameren Corporation,Utilities,21394.692096
25,AAL,American Airlines Group Inc.,Industrials,6094.21312
26,AEP,"American Electric Power Company, Inc.",Utilities,52179.685376
27,AXP,American Express Company,Financial Services,160609.23904
28,AIG,"American International Group, Inc.",Financial Services,45179.600896
29,AMT,American Tower Corporation,Real Estate,105649.27488
30,AWK,"American Water Works Company, Inc.",Utilities,27810.848768
31,AMP,"Ameriprise Financial, Inc.",Financial Services,38526.550016
32,AME,"AMETEK, Inc.",Industrials,35816.30464
33,AMGN,Amgen Inc.,Healthcare,174459.387904
34,APH,Amphenol Corporation,Technology,70318.497792
35,ADI,"Analog Devices, Inc.",Technology,99521.282048
36,ANSS,"ANSYS, Inc.",Technology,25913.622528
37,AON,Aon plc,Financial Services,70607.99488
38,APA,APA Corporation,Energy,10205.678592
39,AAPL,Apple Inc.,Technology,3181762.052096
40,AMAT,"Applied Materials, Inc.",Technology,150600.368128
41,APTV,Aptiv PLC,Consumer Cyclical,18369.3312
42,ACGL,Arch Capital Group Ltd.,Financial Services,36118.560768
43,ADM,Archer-Daniels-Midland Company,Consumer Defensive,27818.303488
44,ANET,"Arista Networks, Inc.",Technology,98936.201216
45,AJG,Arthur J. Gallagher & Co.,Financial Services,60979.912704
46,AIZ,"Assurant, Inc.",Financial Services,8800.67584
47,T,AT&T Inc.,Communication Services,135589.240832
48,ATO,Atmos Energy Corporation,Utilities,19200.606208
49,ADSK,"Autodesk, Inc.",Technology,48644.68992
50,ADP,"Automatic Data Processing, Inc.",Industrials,105346.940928
51,AZO,"AutoZone, Inc.",Consumer Cyclical,53169.016832
52,AVB,"AvalonBay Communities, Inc.",Real Estate,29022.222336
53,AVY,Avery Dennison Corporation,Consumer Cyclical,16286.599168
54,AXON,"Axon Enterprise, Inc.",Industrials,21595.695104
55,BKR,Baker Hughes Company,Energy,34524.491776
56,BALL,Ball Corporation,Consumer Cyclical,19027.453952
57,BAC,Bank of America Corporation,Financial Services,284388.622336
58,BK,The Bank of New York Mellon Corporation,Financial Services,45325.381632
59,BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,6971.504128
60,BAX,Baxter International Inc.,Healthcare,17651.851264
61,BDX,"Becton, Dickinson and Company",Healthcare,68150.317056
62,BRK-B,Berkshire Hathaway Inc.,Financial Services,891045.347328
63,BBY,"Best Buy Co., Inc.",Consumer Cyclical,17306.734592
64,BIO,"Bio-Rad Laboratories, Inc.",Healthcare,9330.074624
65,TECH,Bio-Techne Corporation,Healthcare,12238.051328
66,BIIB,Biogen Inc.,Healthcare,28897.88416
67,BLK,"BlackRock, Inc.",Financial Services,123118.63296
68,BX,Blackstone Inc.,Financial Services,158183.522304
69,BA,The Boeing Company,Industrials,102918.365184
70,BKNG,Booking Holdings Inc.,Consumer Cyclical,113427.456
71,BWA,BorgWarner Inc.,Consumer Cyclical,7372.88192
72,BSX,Boston Scientific Corporation,Healthcare,107443.085312
73,BMY,Bristol-Myers Squibb Company,Healthcare,96483.966976
74,AVGO,Broadcom Inc.,Technology,661365.325824
75,BR,"Broadridge Financial Solutions, Inc.",Technology,24642.893824
76,BRO,"Brown & Brown, Inc.",Financial Services,28063.975424
77,BF-B,Brown-Forman Corporation,Consumer Defensive,21024.999424
78,BLDR,"Builders FirstSource, Inc.",Industrials,18265.829376
79,BG,Bunge Global SA,Consumer Defensive,13514.923008
80,BXP,"BXP, Inc.",Real Estate,11571.27168
81,CDNS,"Cadence Design Systems, Inc.",Technology,67589.726208
82,CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,7182.422016
83,CPT,Camden Property Trust,Real Estate,12258.75968
84,CPB,Campbell Soup Company,Consumer Defensive,14578.392064
85,COF,Capital One Financial Corporation,Financial Services,50183.51616
86,CAH,"Cardinal Health, Inc.",Healthcare,23957.250048
87,KMX,"CarMax, Inc.",Consumer Cyclical,11659.101184
88,CCL,Carnival Corporation & plc,Consumer Cyclical,18865.872896
89,CARR,Carrier Global Corporation,Industrials,57369.890816
90,CTLT,"Catalent, Inc.",Healthcare,10704.96768
91,CAT,Caterpillar Inc.,Industrials,154931.986432
92,CBOE,"Cboe Global Markets, Inc.",Financial Services,20536.516608
93,CBRE,"CBRE Group, Inc.",Real Estate,32671.674368
94,CDW,CDW Corporation,Technology,27606.151168
95,CE,Celanese Corporation,Basic Materials,13766.170624
96,COR,"Cencora, Inc.",Healthcare,47537.590272
97,CNC,Centene Corporation,Healthcare,40730.505216
98,CNP,"CenterPoint Energy, Inc.",Utilities,16646.203392
99,CF,"CF Industries Holdings, Inc.",Basic Materials,13317.496832
100,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,11579.35104
101,CRL,"Charles River Laboratories International, Inc.",Healthcare,11662.24896
102,SCHW,The Charles Schwab Corporation,Financial Services,113876.713472
