,ticker,name,sector,market capitalization
0,MMM,3M Company,Industrials,70365.3888
1,AOS,A. O. Smith Corporation,Industrials,12323.90144
2,ALLE,Allegion plc,Industrials,11916.510208
3,AAL,American Airlines Group Inc.,Industrials,6974.196224
4,AME,"AMETEK, Inc.",Industrials,39875.33824
5,ADP,"Automatic Data Processing, Inc.",Industrials,103415.56224
6,AXON,"Axon Enterprise, Inc.",Industrials,23439.357952
7,BA,The Boeing Company,Industrials,114728.787968
8,BLDR,"Builders FirstSource, Inc.",Industrials,20443.328512
9,CARR,Carrier Global Corporation,Industrials,60276.748288
10,CAT,Caterpillar Inc.,Industrials,171403.296768
11,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,10476.489728
12,CTAS,Cintas Corporation,Industrials,76724.51072
13,CPRT,"Copart, Inc.",Industrials,49125.310464
14,CSX,CSX Corporation,Industrials,67093.1968
15,CMI,Cummins Inc.,Industrials,39718.178816
16,DE,Deere & Company,Industrials,106521.575424
17,DAL,"Delta Air Lines, Inc.",Industrials,28482.340864
18,DOV,Dover Corporation,Industrials,25461.344256
19,ETN,Eaton Corporation plc,Industrials,119083.843584
20,EMR,Emerson Electric Co.,Industrials,66844.16
21,EFX,Equifax Inc.,Industrials,33624.018944
22,EXPD,"Expeditors International of Washington, Inc.",Industrials,17540.673536
23,FAST,Fastenal Company,Industrials,40297.10336
24,FDX,FedEx Corporation,Industrials,73324.806144
25,GE,GE Aerospace,Industrials,184126.685184
26,GNRC,Generac Holdings Inc.,Industrials,9663.753216
27,GD,General Dynamics Corporation,Industrials,79795.52768
28,GPN,Global Payments Inc.,Industrials,25828.747264
29,HON,Honeywell International Inc.,Industrials,131714.29376
30,HWM,Howmet Aerospace Inc.,Industrials,33748.57216
31,HUBB,Hubbell Incorporated,Industrials,19707.592704
32,HII,"Huntington Ingalls Industries, Inc.",Industrials,10884.773888
33,IEX,IDEX Corporation,Industrials,15628.07296
34,ITW,Illinois Tool Works Inc.,Industrials,73851.019264
35,IR,Ingersoll Rand Inc.,Industrials,39839.760384
36,JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,17494.849536
37,J,Jacobs Solutions Inc.,Industrials,18278.592512
38,JCI,Johnson Controls International plc,Industrials,46328.696832
39,LHX,"L3Harris Technologies, Inc.",Industrials,43520.221184
40,LMT,Lockheed Martin Corporation,Industrials,125090.275328
41,MAS,Masco Corporation,Industrials,16903.384064
42,NDSN,Nordson Corporation,Industrials,14085.261312
43,NSC,Norfolk Southern Corporation,Industrials,55895.453696
44,NOC,Northrop Grumman Corporation,Industrials,70241.468416
45,ODFL,"Old Dominion Freight Line, Inc.",Industrials,44093.640704
46,OTIS,Otis Worldwide Corporation,Industrials,37443.883008
47,PCAR,PACCAR Inc,Industrials,52031.52896
48,PH,Parker-Hannifin Corporation,Industrials,71290.118144
49,PAYX,"Paychex, Inc.",Industrials,45285.96992
50,PNR,Pentair plc,Industrials,14646.573056
51,POOL,Pool Corporation,Industrials,14251.414528
52,PWR,"Quanta Services, Inc.",Industrials,37808.88576
53,RTX,RTX Corporation,Industrials,151580.83584
54,RSG,"Republic Services, Inc.",Industrials,59767.140352
55,ROK,"Rockwell Automation, Inc.",Industrials,31583.391744
56,SNA,Snap-on Incorporated,Industrials,14785.927168
57,LUV,Southwest Airlines Co.,Industrials,16295.95648
58,SWK,"Stanley Black & Decker, Inc.",Industrials,14684.674048
59,TXT,Textron Inc.,Industrials,17555.750912
60,TT,Trane Technologies plc,Industrials,74630.51264
61,TDG,TransDigm Group Incorporated,Industrials,69100.91264
62,UNP,Union Pacific Corporation,Industrials,146648.92416
63,UAL,"United Airlines Holdings, Inc.",Industrials,15576.865792
64,UPS,"United Parcel Service, Inc.",Industrials,110221.664256
65,URI,"United Rentals, Inc.",Industrials,49748.086784
66,VLTO,Veralto Corporation,Industrials,25914.007552
67,VRSK,"Verisk Analytics, Inc.",Industrials,39944.720384
68,GWW,"W.W. Grainger, Inc.",Industrials,47675.912192
69,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,27974.975488
70,WM,"Waste Management, Inc.",Industrials,79043.01056
71,XYL,Xylem Inc.,Industrials,34146.236416
72,LLY,Eli Lilly and Company,Healthcare,724483.833856
73,UNH,UnitedHealth Group Incorporated,Healthcare,524361.728
74,JNJ,Johnson & Johnson,Healthcare,386699.034624
75,ABBV,AbbVie Inc.,Healthcare,326968.475648
